,waged_workers,life_expectancy,employment_ratio,binding_coverage,tech,literacy_rate,expense,agricultural_land,health_expenditure,gdp
0,,33.078,,,,,,317780,,71.1547032389973
1,,33.782,,,,,,317780,,79.1574879222282
2,,34.493,,,,,,317780,,90.1001936661963
3,,35.205,,,,,,318280,,84.5976489245494
4,,35.921,,,,,,318780,,128.151031964373
5,,36.645,,,,9.43381023406982,,320770,,142.37785666833
6,,37.385,,,,,,320750,,156.405949369652
7,,38.142,,,,,,320750,,178.990944499952
8,,38.909,,,,,,320800,,229.346044930496
9,,39.677,,,,,,320800,,248.188933681431
10,,40.435,,,,,,320830,,212.720113068273
11,,41.173,,,,,,320830,,180.513461186088
12,,41.879,,,,,,320830,,171.999588677702
13,,42.545,,,,,,320830,,160.228101522016
14,,43.17,,,,,,321030,,177.759916329217
15,,43.759,,,,,,321060,,232.892608455775
16,,44.315,,,,,,321060,,259.311949059696
17,,44.838,,,,,,321230,,265.439013877581
18,,45.323,,,,,,321230,,262.967850392529
19,,45.746,,,,,,321280,,317.389306906928
20,14.7159996032715,46.076,0.755999982357025,,,,,321380,,315.456317277403
21,14.7480001449585,46.305,0.757000029087067,,,,,322400,,319.838029708742
22,14.8769998550415,46.445,0.764999985694885,,,,,331400,,310.138251539989
23,15.0159997940063,46.52,0.767000019550323,,,,,352500,,223.018023022011
24,15.1099996566772,46.573,0.777999997138977,42.36,,,,354190,,282.341255036895
25,15.3050003051758,46.658,0.785000026226044,42.28,,,,366500,,282.633000795618
26,15.4680004119873,46.823,0.792999982833862,42.28,,,,376500,,267.18915875462
27,15.6800003051758,47.103,0.796999990940094,42.28,,19.0449695587158,,376500,,281.872630907954
28,15.8739995956421,47.515,0.802999973297119,42.28,,,,376500,,323.168638837574
29,15.9659996032715,48.069,0.813000023365021,,,,9.51851057381814,386000,5.4667201,269.871137691703
30,16.3209991455078,48.758,0.830999970436096,42.28,,,11.0137273365614,392740,4.51965237,307.436920532829
31,16.4710006713867,49.54,0.828999996185303,42.28,,,11.6887497642883,396840,5.00057983,334.836520639048
32,16.7290000915527,50.373,0.83899998664856,41.44,,,12.9389407476885,407260,5.05147505,392.524758957184
33,16.8449993133545,51.224,0.839999973773956,41.44,,,13.660894474872,397910,5.21853399,440.168441800791
34,17.0550003051758,52.057,0.850000023841858,41.44,,,12.8334575182948,403920,5.19538116,489.021068995931
35,17.2290000915527,52.839,0.862999975681305,41.44,,26.176549911499,13.3351041635196,404660,5.45656061,523.038603102408
36,17.3819999694824,53.553,0.861999988555908,40.24,,,13.0482860868743,405970,5.25366783,596.690188823963
37,17.5599994659424,54.193,0.862999975681305,40.24,,,11.9813264413356,405510,5.04541206,694.277650085098
38,17.7360000610352,54.756,0.875999987125397,40.24,,,12.8980429160903,410453.984375,5.22911119,698.898921861432
39,17.9330005645752,55.251,0.876999974250793,40.24,,31.0997505187988,12.7809377268295,410510,4.67923403,710.274202175837
40,18.0909996032715,55.701,0.875,40.24,,30.6186695098877,12.2422712608196,416510,4.01573372,837.603440597371
41,18.1609992980957,56.135,0.875999987125397,40.24,,,11.9890875202287,416510,3.75211573,778.619285773713
42,18.3010005950928,56.578,0.880999982357025,40.24,,,13.2536663527282,412010,3.96750712,805.032838240856
43,18.5400009155273,57.036,0.890999972820282,40.24,,,12.9583593938241,412010,4.48156118,848.274053713997
44,18.7590007781982,57.509,0.89300000667572,40.4,,33.0688896179199,12.2766221931956,412010,4.11143351,751.474788898858
45,18.9740009307861,57.987,0.894999980926514,40.4,,,12.3148516316637,412010,3.7753799,780.718598502648
46,18.6110000610352,58.452,0.732999980449677,40.6,,,12.5069979898467,,4.10388279,830.018367429228
47,18.2299995422363,58.893,0.600000023841858,40.6,,35.4737701416016,12.3716813160241,,3.8849268,894.802186858006
48,18.4099998474121,,0.603999972343445,,,,12.8584923716145,,,879.008010446655