,waged_workers,life_expectancy,employment_ratio,binding_coverage,tech,agricultural_land,expense,health_expenditure,gdp
0,,71.1073170731707,56.5999984741211,,,4333000,,,5609.38259952519
1,,71.1560975609756,57,,,4323000,,,6094.01798986165
2,,71.3560975609756,57.7999992370605,,,4312000,,,6726.35895596695
3,,71.9560975609756,57.7999992370605,,,4301580,,,7225.69135952566
4,,72.6048780487805,56.0999984741211,,,4301580,,,7801.45666356443
5,,72.8560975609756,56.7999992370605,,,4301580,,,8592.25353727612
6,,73.2560975609756,57.9000015258789,,,4303310,,,9452.57651914511
7,,73.3560975609756,59.2999992370605,,,4281630,,,10564.9482220275
8,,73.8048780487805,59.9000015258789,,,4281630,,,11674.1863100131
9,,73.609756097561,59.2000007629395,,,4281630,,,12574.7915062163
10,,74.009756097561,59,,,4281630,,,13976.1097504641
11,,74.3609756097561,57.7999992370605,,,4313990,,,14433.787727053
12,,74.4634146341463,57.9000015258789,,,4313990,,,15543.8937174925
13,,74.5634146341464,59.5,,,4313990,,,17121.2254849995
14,,74.5634146341464,60.0999984741211,,,4313990,,,18236.8277265009
15,,74.6146341463415,60.7000007629395,,,4313990,,,19071.2271949295
16,,74.7658536585366,61.5,,,4269480,,,20038.9410992658
17,,74.7658536585366,62.2999992370605,,,4269480,,,21417.0119305191
18,,75.0170731707317,63,,,4269480,14.6616727937918,,22857.1544330056
19,,75.2146341463415,62.7999992370605,,48.654045427385,4269480,15.2768405391518,,23888.6000088133
20,90.9820022583008,75.3658536585366,61.7000007629395,,48.9673759515029,4269480,16.2383737008432,,24342.2589048189
21,91.3030014038086,75.6170731707317,61.5,,48.4789185301149,4254290,14.8606043837985,,25418.9907763319
22,91.181999206543,75.419512195122,61.7000007629395,,48.8696416302322,4229480,14.5392056844594,,26387.2937338171
23,91.1999969482422,75.619512195122,62.5791015625,,49.1751669346116,4211390,13.8186824195072,,27694.853416234
24,91.443000793457,75.6219512195122,62.9477005004883,99.98,49.2224311288176,4201390,13.5452094041309,,28690.8757013347
25,91.556999206543,76.0268292682927,63.2224998474121,99.98,49.2222550293065,4163060,12.9907611949875,,29967.7127181749
26,91.7249984741211,76.4292682926829,63.8437004089355,99.98,51.7056671276585,4148850,12.4845607844096,,31459.1389804773
27,92.0550003051758,76.5804878048781,64.059700012207,99.98,51.7860386621392,4145880,12.0308051612398,,32853.6769523009
28,92.3430023193359,76.5829268292683,64.2531967163086,99.98,51.5749360922822,4138870,11.7169488659532,,34513.5615037271
29,92.4349975585938,76.6365853658537,64.3958969116211,99.98,51.0131673321701,4143990,11.6941045754835,12.54207516,36334.9087770589
30,92.5189971923828,76.8365853658537,63.6626014709473,99.98,49.5700892226411,4149440,12.2116935381476,13.2191925,37133.2428088526
31,92.6389999389648,76.9365853658537,62.7318000793457,99.98,50.3849002664497,4130640,12.4148333498926,14.00746441,38023.1611144021
32,92.4329986572266,77.0365853658537,62.2765007019043,99.98,50.4128384698695,4139250,13.0150258266304,14.52157784,39496.4858751381
33,92.4260025024414,77.4878048780488,62.345100402832,99.98,50.3938623887726,4115210,12.976493754893,14.60988235,41712.8010675545
34,92.5299987792969,77.4878048780488,62.6893997192383,99.98,49.3106240883447,4117840,13.3271546145905,14.60567665,44114.7477810544
35,92.5979995727539,77.6878048780488,63.119701385498,99.98,49.4657392664653,4092148.125,12.8528645995833,14.70215797,46298.7314440927
36,92.7799987792969,77.9878048780488,62.9872016906738,99.98,50.6101266474912,4128575.9375,13.0309951462066,14.91858959,47975.9676958038
37,92.9820022583008,78.0390243902439,62.1769981384277,99.98,51.3276787379813,4133125.9375,14.5649446685185,15.28626251,48382.5584490552
38,92.9069976806641,78.390243902439,59.3202018737793,99.98,47.4277096836289,4099606.875,15.940568732756,16.28372383,47099.9804711343
39,92.9550018310547,78.5414634146342,58.4720993041992,99.98,48.0715491941262,4084261.875,16.4449888543939,16.34537888,48467.5157769259
40,93.1800003051758,78.6414634146341,58.371898651123,99.98,47.5939085223036,4046693.125,15.969055483077,16.29982948,49886.8181094923
41,93.2470016479492,78.7414634146342,58.5606994628906,99.98,47.7858238225766,4087065,14.6235119177509,16.28528976,51610.6052783379
42,93.4049987792969,78.7414634146342,58.584300994873,99.98,47.5014108772606,4058416.875,13.7748339171912,16.21042252,53117.6678498178
43,93.5540008544922,78.8414634146341,59.0068016052246,99.98,48.7044168693515,4078655,13.6465160115001,16.40644836,55064.7445483427
44,93.5559997558594,78.690243902439,59.3432998657227,99.98,48.3239314140589,4058625,13.3512925162149,16.71075249,56839.3817742317
45,93.6129989624023,78.5390243902439,59.7291984558105,99.98,47.9489558322261,4058625,13.4131044246822,17.04898262,57951.5840820997
46,93.7480010986328,78.5390243902439,60.1137008666992,99.98,48.3137532936737,,13.1971787624084,17.00361443,60062.2223132211
47,93.7190017700195,78.5390243902439,60.421501159668,99.98,47.4422715307037,,13.2690165174741,16.88529778,62996.4712852605
48,93.7819976806641,,60.7844009399414,,,,13.4267566627628,,65297.517508274
49,93.8430023193359,,,,,,,,